ticket_id,created_date,resolved_date,category,priority,channel,product_area,agent_id,first_response_minutes,resolution_minutes,customer_id,csat_score,is_repeat_contact,sla_breached
1,2026-05-12 15:46:46,2026-05-15 08:50:46,Billing,Low,Phone,Payments,AGT-008,1429,3904,CUST-01144,5,1,0
2,2025-11-24 17:11:34,2025-12-04 04:19:34,Billing,Low,Chat,Payments,AGT-017,1937,13628,CUST-04932,3,0,1
3,2025-06-21 05:18:39,2025-06-25 23:20:39,Bug,Medium,Email,Payments,AGT-014,318,6842,CUST-02788,3,1,1
4,2025-10-23 02:21:29,2025-10-27 08:54:29,Billing,Low,Phone,Mobile App,AGT-009,1469,6153,CUST-06612,1,0,1
5,2025-03-03 04:56:31,2025-03-08 01:05:31,Feature Request,Low,Phone,Mobile App,AGT-007,1583,6969,CUST-05772,3,0,1
6,2025-06-30 19:32:11,2025-07-06 14:53:11,Billing,Low,Portal,Dashboard,AGT-006,612,8361,CUST-03033,3,0,1
7,2025-02-25 11:02:21,2025-03-04 20:34:21,Feature Request,Medium,Chat,Payments,AGT-015,294,10652,CUST-03109,3,0,1
8,2025-09-09 21:04:05,2025-09-15 04:34:05,Billing,Low,Email,Dashboard,AGT-013,1881,7650,CUST-02194,3,0,1
9,2025-06-15 03:38:45,2025-06-24 17:53:45,Bug,Low,Portal,Payments,AGT-009,1019,13815,CUST-01144,2,0,1
10,2026-03-30 05:50:31,2026-03-30 23:19:31,Bug,Low,Chat,Mobile App,AGT-016,1039,1049,CUST-00745,3,1,0
11,2026-06-13 13:05:21,2026-06-15 06:52:21,Bug,Medium,Portal,API,AGT-020,5,2507,CUST-03835,5,1,0
12,2026-07-14 19:13:42,2026-07-17 12:15:42,Billing,Medium,Phone,Dashboard,AGT-004,190,3902,CUST-02405,5,0,0
13,2025-07-24 13:55:39,2025-07-25 15:37:39,Feature Request,High,Email,Dashboard,AGT-017,189,1542,CUST-04989,1,0,1
14,2026-02-16 22:30:32,2026-02-21 12:02:32,Billing,Medium,Portal,Login,AGT-004,63,6572,CUST-07612,4,0,1
15,2025-07-07 02:10:18,2025-07-07 19:16:18,Feature Request,High,Email,API,AGT-003,131,1026,CUST-06231,5,0,0
16,2025-05-09 06:11:22,2025-05-11 17:46:22,Account,Medium,Portal,Payments,AGT-018,323,3575,CUST-06188,4,0,0
17,2026-05-20 18:36:18,2026-05-23 02:38:18,Account,Medium,Portal,Login,AGT-008,363,3362,CUST-01841,4,0,0
18,2025-01-06 14:02:49,2025-01-12 10:15:49,Billing,Medium,Email,Payments,AGT-003,693,8413,CUST-07418,2,0,1
19,2026-01-13 00:46:55,2026-01-17 01:03:55,Technical,Medium,Portal,Payments,AGT-016,282,5777,CUST-06616,3,0,1
20,2025-11-16 07:30:06,2025-11-16 10:33:06,Bug,High,Email,Login,AGT-002,150,183,CUST-03299,3,1,0
21,2026-02-21 13:05:27,2026-02-24 19:17:27,Bug,Low,Chat,Dashboard,AGT-015,1128,4692,CUST-02047,5,0,0
22,2025-03-18 01:09:03,2025-03-20 23:10:03,Billing,Medium,Email,Login,AGT-008,198,4201,CUST-01363,5,0,0
23,2025-05-08 21:03:30,2025-05-14 16:06:30,Bug,Low,Portal,Dashboard,AGT-015,47,8343,CUST-02337,5,0,1
24,2026-07-13 00:06:03,2026-07-18 00:21:03,Bug,Low,Phone,Payments,AGT-002,994,7215,CUST-04745,2,1,1
25,2026-01-06 07:58:55,2026-01-06 23:25:55,Feature Request,High,Chat,Login,AGT-017,184,927,CUST-00657,2,0,0
26,2025-11-10 14:55:18,2025-11-11 08:57:18,Billing,High,Chat,Mobile App,AGT-020,169,1082,CUST-00326,4,0,0
27,2025-07-22 13:01:29,2025-07-27 21:57:29,Technical,Medium,Phone,Payments,AGT-009,477,7736,CUST-03243,2,0,1
28,2025-02-26 08:18:06,2025-02-28 13:48:06,Billing,Medium,Email,Login,AGT-018,259,3210,CUST-01747,4,1,0
29,2025-07-09 17:47:29,2025-07-14 21:12:29,Account,Low,Portal,Mobile App,AGT-010,2681,7405,CUST-05011,2,0,1
30,2026-03-07 18:32:09,2026-03-08 09:11:09,Account,High,Email,Payments,AGT-009,259,879,CUST-00946,1,0,1
31,2025-06-13 14:25:16,2025-06-16 09:07:16,Account,Low,Phone,Mobile App,AGT-016,2550,4002,CUST-02058,1,0,1
